umol/g,,Alanine,Glycine,Taurine,Phenylalanine,Glutamate,Serine,Valine,Threonine,Isoleucine,Asparagine,Aspartic acid,proline,Tyrosine,Citrulline,methionine sulfoxide,arginine,lysine,histidine,tryptophan,glutamine
190909X_YZ_S61,W6_WT_veh+CTL_E1,3.64,3.02,0.66,1.33,6.01,1.93,4.12,2.44,3.84,2.01,1.52,1.76,2.10,0.96,0.61,2.44,6.24,0.59,0.58,0.60
190909X_YZ_S62,W6_WT_veh+CTL_E2,3.87,3.38,0.00,1.37,7.78,1.75,3.68,2.73,3.68,2.64,2.54,1.81,2.05,1.07,1.05,1.46,5.58,0.30,0.27,0.18
190909X_YZ_S63,W6_WT_veh+CTL_E3,3.60,3.04,1.24,1.00,8.04,1.56,3.28,2.19,3.23,1.31,4.17,1.27,1.72,0.95,0.75,1.36,5.67,0.41,0.31,0.22
190909X_YZ_S64,W6_WT_veh+CTL_E4,4.45,3.33,0.00,1.20,7.72,1.46,3.96,2.49,3.87,0.95,3.21,1.43,2.02,1.31,0.85,1.38,6.28,0.17,0.21,0.13
190909X_YZ_S65,W6_WT_veh+CTL_E5,3.61,2.41,0.01,0.88,7.86,1.12,2.81,1.80,2.70,0.84,4.53,1.20,1.22,0.65,0.70,0.82,4.11,0.21,0.14,0.08
190909X_YZ_S66,W6_WT_DSS+PIC_F1,2.95,2.05,0.24,0.95,3.27,1.43,3.44,1.87,2.96,0.54,0.78,1.10,1.12,0.29,0.53,1.28,3.57,0.22,0.15,0.12
190909X_YZ_S67,W6_WT_DSS+PIC_F2,6.78,6.34,0.00,2.16,12.97,2.73,7.06,4.63,7.92,1.80,4.35,2.46,4.87,1.72,1.38,2.58,8.34,0.33,0.62,0.78
190909X_YZ_S68,W6_WT_DSS+PIC_F3,4.55,3.40,0.00,1.15,8.01,1.86,4.57,2.61,4.19,0.73,2.28,1.71,1.82,0.94,0.83,1.02,6.00,0.15,0.21,0.14
190909X_YZ_S69,W6_WT_DSS+PIC_F4,4.31,3.09,0.00,1.20,8.08,1.52,4.06,2.51,4.08,0.59,2.19,1.63,1.81,1.18,0.91,0.94,5.46,0.21,0.22,0.13
190909X_YZ_S70,W6_WT_DSS+PIC_F5,4.54,3.62,0.73,1.37,7.60,2.21,4.98,2.89,4.86,1.21,1.72,1.84,2.54,1.39,0.79,0.63,6.05,0.32,0.30,0.26
190909X_YZ_S71,W6_WT_DSS+CRA_G1,4.90,3.91,0.00,2.17,6.69,2.41,5.27,3.69,7.03,3.99,3.02,1.37,5.82,3.93,0.75,0.88,8.92,0.85,0.77,1.33
190909X_YZ_S72,W6_WT_DSS+CRA_G2,4.46,2.89,0.01,1.49,6.79,1.87,3.77,2.67,4.43,0.52,2.17,1.54,3.07,0.96,0.59,2.88,7.76,0.42,0.38,0.21
